state,population,prison_population
AL,279944717,2021979
AZ,188245755,1685800
CA,2107766797,11961361
CO,267370200,1360337
FL,823733981,5955621
GA,519424613,3742643
HI,77772282,187544
IA,92157500,381216
IL,685918365,3375183
IN,174924765,1113464
KY,238872939,1359229
LA,81513348,668655
MA,108107512,235570
MD,339868913,1899731
ME,29716651,65877
MI,595727293,3791757
MN,253285584,539479
MO,331809784,2284768
MS,119906406,757564
NC,396761919,2277325
ND,31842562,78839
NE,97106117,329152
NH,60041337,129828
NJ,517999375,2182478
NV,83270537,562492
NY,1062747162,5061827
OH,476990460,2662577
OK,201017593,1619662
OR,200438822,922996
PA,753786360,3399657
SC,260119556,1886989
SD,35437916,183267
TN,356485798,2080948
TX,1079019308,8644347
UT,128020489,400487
VA,369616470,2197294
WA,353793353,1170005
WI,313611592,1445366
WV,83135625,214936
WY,10505503,59600
